t,k_t,P_t,Y_t,Δk
0,0.2,0.0609,0.08,-0.12000000000000001
1,0.08,0.0515,0.0468,-0.0332
2,0.0468,0.0505,0.0371,-0.0097
3,0.0371,0.0503,0.0336,-0.003500000000000003
4,0.0336,0.0502,0.0323,-0.0012999999999999956
5,0.0323,0.0502,0.0318,-0.0005000000000000004
6,0.0318,0.0502,0.0316,-0.0001999999999999988
7,0.0316,0.0502,0.0315,-0.00010000000000000286
8,0.0315,0.0502,0.0315,0.0
9,0.0315,0.0502,0.0315,0.0
10,0.0315,0.0502,0.0315,0.0
11,0.0315,0.0502,0.0314,-0.00010000000000000286
12,0.0314,0.0502,0.0314,0.0
13,0.0314,0.0502,0.0314,0.0
14,0.0314,0.0502,0.0314,0.0
15,0.0314,0.0502,0.0314,0.0
16,0.0314,0.0502,0.0314,0.0
17,0.0314,0.0502,0.0314,0.0
18,0.0314,0.0502,0.0314,0.0
19,0.0314,0.0502,0.0314,0.0
