t,k_t,P_t,Y_t,Δk
0,0.2,0.05095231,0.04849778,-0.05302578000000002
1,0.14697422,0.05029558,0.03979372,-0.037513169999999985
2,0.10946105,0.05009648,0.03321261,-0.02668695
3,0.0827741,0.05003336,0.02805023,-0.019153360000000008
4,0.06362074,0.05001227,0.02394285,-0.013887259999999998
5,0.04973348,0.05000481,0.020651,-0.01017887
6,0.03955461,0.05000202,0.01799889,-0.007544499999999996
7,0.03201011,0.0500009,0.01585222,-0.005655260000000002
8,0.02635485,0.05000043,0.01410685,-0.0042868
9,0.02206805,0.05000022,0.01268149,-0.003285299999999998
10,0.01878275,0.05000012,0.01151242,-0.0025446099999999992
11,0.01623814,0.05000007,0.01054951,-0.0019910200000000013
12,0.01424712,0.05000004,0.00975319,-0.0015728800000000005
13,0.01267424,0.05000003,0.00909208,-0.0012537499999999997
14,0.01142049,0.05000002,0.00854124,-0.00100774
15,0.01041275,0.05000001,0.00808071,-0.0008162099999999995
16,0.00959654,0.05000001,0.00769447,-0.0006657299999999998
17,0.00893081,0.05000001,0.00736961,-0.0005464200000000006
18,0.00838439,0.05000001,0.00709566,-0.0004510499999999997
19,0.00793334,0.05,0.0068641,-0.0003742400000000005
20,0.0075591,0.05,0.00666795,-0.00031190000000000037
21,0.0072472,0.05,0.00650148,-0.00026099999999999995
22,0.0069862,0.05,0.00635996,-0.00021917999999999938
23,0.00676702,0.05,0.00623948,-0.00018464000000000067
24,0.00658238,0.05,0.00613677,-0.00015597000000000007
25,0.00642641,0.05,0.00604911,-0.00013204999999999988
26,0.00629436,0.05,0.00597421,-0.00011204999999999982
27,0.00618231,0.05,0.00591018,-9.524999999999985e-05
28,0.00608706,0.05,0.00585537,-8.108999999999981e-05
29,0.00600597,0.05,0.00580845,-6.913000000000058e-05
30,0.00593684,0.05,0.00576824,-5.9009999999999965e-05
31,0.00587783,0.05,0.00573377,-5.0419999999999805e-05
32,0.00582741,0.05,0.00570421,-4.311999999999979e-05
33,0.00578429,0.05,0.00567884,-3.691000000000024e-05
34,0.00574738,0.05,0.00565708,-3.1609999999999625e-05
35,0.00571577,0.05,0.00563839,-2.7080000000000506e-05
36,0.00568869,0.05,0.00562234,-2.322000000000001e-05
37,0.00566547,0.05,0.00560856,-1.991999999999966e-05
38,0.00564555,0.05,0.00559672,-1.7089999999999987e-05
39,0.00562846,0.05,0.00558655,-1.4670000000000481e-05
40,0.00561379,0.05,0.00557781,-1.2589999999999824e-05
41,0.0056012,0.05,0.0055703,-1.0809999999999986e-05
42,0.00559039,0.05,0.00556385,-9.289999999999472e-06
43,0.0055811,0.05,0.0055583,-7.980000000000313e-06
44,0.00557312,0.05,0.00555353,-6.860000000000026e-06
45,0.00556626,0.05,0.00554943,-5.889999999999715e-06
46,0.00556037,0.05,0.0055459,-5.060000000000307e-06
47,0.00555531,0.05,0.00554287,-4.360000000000128e-06
48,0.00555095,0.05,0.00554027,-3.739999999999473e-06
49,0.00554721,0.05,0.00553802,0.0
